"S.No","Company Name","Owner Name","No of Vehicles","Email","Mobile","Approval Status"
"1","tets","kishantest","0","kishan1@yopmail.com","1234567892","Blocked"
"2","kishqn","kishan","0","kishan@yopmail.com","1234567890","Blocked"
"3","jdjdje","jdjd","0","kishan2@yopmail.com","1234567893","Blocked"
"4","jdjdjegh","jdjd","0","kishan2@yopmail.com","1234567893","Blocked"
"5","Ringertech D","Gurdip","0","krrrishnamanohar@gmail.com","9832123456","Blocked"
"6","bgbgbbg","uu","0","u@gmail.com","7474747474","Blocked"
"7","ooaao","rrr","0","rr@gmail.com","1234567891","Blocked"
"8","qqqq","q","0","q@gmail.com","9988777788","Blocked"
"9","ooo","rrr","0","rr@gmail.com","8547854785","Blocked"
"10","Ringertech Test","Krishna","0","krishna@gmail.com","9832471236","Approved"
"11","RingerTech","Krishna","0","kms103162@gmail.com","9832695984","Blocked"
"12","testing","testing","0","test12@gmail.com","3698521470","Blocked"
"13","yyyyy","rrrr","0","rty@gmail.com","2541145212","Blocked"
"14","Test Driver","Krishna","0","test@gmail.com","9832983256","Blocked"
"15","y","yyy","0","y@gmail.c9m","3698527410","Blocked"
